smiles,half-life
CCOC(=O)N1CCN(CC1)CC2=NC3=C(N2C(C)C)C=CC(=C3)NC(=O)CC(C)C,30
COC1=CC=CC(=C1)C(=O)NC2=NN=C(S2)S(=O)(=O)N3CCOCC3,30
CN1C=C(C=C1C(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)S(=O)(=O)N3CCOCC3,30
CC1=NN=C2N1C3=CC=CC=C3N=C2NC4=CC(=CC=C4)NC(=O)C,30
CCN(CC)CCCNC(=O)C1=C(C2=C(O1)CCC3=CN(N=C32)CC4=CC=C(C=C4)Cl)C,30
CCN(CC)CCCNC(=O)C1=CC2=C(C=C1)N3C=C(N=C3S2)C4=CC=C(C=C4)OCC,30
CCN(CC)CCNC(=O)C1CCN(CC1)C2=NN3C=C(N=C3S2)C4=CC=C(C=C4)F,30
CC1=CC(=CC=C1)OCC(=O)NC2=CC3=C(C=C2)N=C(C=C3C)NC4=CC(=CC=C4)Cl,30
CC1=CC2=C(C=C1)C(=C(N2CC3=CC=C(C=C3)OC)C(=O)O)CNCC4=CC=CO4,30
COCCNC1=C2C(=NOC2=NC=N1)C3=CC=C(C=C3)F,30
CC1=NN(C2=C1C(=CC(=N2)C3CC3)C(=O)NC4=CC=C(C=C4)F)C5=CC=CC=C5,30
CC(C)(C)C1=CC=C(C=C1)C2=NC3=CC(=O)NN3C(=N2)SCCCOC4=CC=CC=C4,30
CC1=C(N=NN1C2=CC=CC=C2C(F)(F)F)C3=NSC(=N3)NC(=O)C4=CC(=CC=C4)OC,30
CC1=C(N=NN1C2=CC=CC=C2C(F)(F)F)C3=NSC(=N3)NC(=O)C4=CC(=CC=C4)Cl,30
CC1=C(C(N2C(=NC=N2)N1)C3=CC=CN3)C(=O)NC4=CC=CC=C4,30
CCN(CCN(C)C)C(=O)C1CCN(CC1)S(=O)(=O)C2=C(ON=C2C)/C=C/C3=CC=CC=C3F,30
CCS(=O)(=O)C1=CC=CC(=C1)C(=O)NC2=CC(=C(C=C2)C3=NC4=CC=CC=C4S3)O,30
COC1=CC=C(C=C1)CNC(=O)CN2C(=O)C=C3CCCCC3=N2,30
CN(C)CCCN1C(C2=C(C1=O)OC3=C(C2=O)C=C(C=C3)Cl)C4=CC(=C(C=C4)OC)OC,30
CC(=O)C1=CC=C(C=C1)N2CCN(CC2)C3=C(C=C(C=C3)NC(=O)C4=CC=C(C=C4)F)C(=O)O,30
CC1=CC(=CC=C1)C(=O)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCCCC4)C(=O)O,30
C1CCN(CC1)C2CCN(CC2)C3=C(C=C(C=C3)NC(=O)C4=CC=C(C=C4)Br)C(=O)O,30
CCCCNC(=O)CN1CCN(CC1)C2=C(C=C(C=N2)NC(=O)C3=CC=C(C=C3)Cl)C(=O)O,30
CC1=CC=C(C=C1)N2C3=NC=NC(=C3C=N2)NC4=CC(=C(C=C4)OC)Cl,30
CCOC(=O)N1CCC2=C(C1)SC(=C2C(=O)NC3=CC=C(C=C3)OC)NCC4=CC=C(C=C4)N(C)C,30
C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)C3=NC4=C(O3)C=CC(=C4)NC(=O)C5=CC=CC=C5Cl)Cl,30
CC1=C(C=C(C=C1)C2=NN3C(=NN=C3C4=CC=CC=C42)C)S(=O)(=O)NC,30
C[C@H](CNC(C)(C)CC(=O)N[C@@H]1CCC2=CC=CC=C2N(C1=O)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)O,30
C1=CC(=C(C=C1CN(CCCNC(=S)NCCCC2=CN=CN2)C3=NC=C(C=C3)Br)Cl)Cl,30
CN(C)CCOC1=CC=C(C=C1)C(=C(CCCl)C2=CC=CC=C2)C3=CC=CC=C3,30
CCCNC(=O)[C@@H]1[C@@H](O1)C(=O)N[C@@H](C(C)CC)C(=O)N2CCC[C@@H]2C(=O)OC,30
C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,30
C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)C(=O)N,30
CN1C[C@@H]2C[C@H]1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F,30
C1CC(CCC1CN)C(=O)OC2=CC=C(C=C2)CCC(=O)O.Cl,30
CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,30
C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3,30
CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,30
CN1C(=NN=N1)SC2=NC=NC3=C2C=CS3,30
CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,30
CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,30
C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl,30
C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,30
C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,30
C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,30
CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O.Cl,30
CC1=C[C@@H]2[C@](CC1)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)COC(=O)C,30
CC[C@H]1CN2CCC3CC(C(CC3[C@@H]2C[C@@H]1C[C@@H]4C5=C(CCN4)CC(=C(C5)OC)O)OC)OC,30
CC[C@@H]1C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)N3CCC(=O)CC3C(=O)N[C@H](C(=O)OC([C@@H](C(=O)N1)NC(=O)C4=C(C=CC=N4)O)C)C5=CC=CC=C5)CC6=CC=CC=C6)C,30
C1=CC=C(C=C1)CCN2C=CC3=C(C2=N)C(C4=C(O3)C=CC5=CC=CC=C54)C6=CC=CC=C6,30
C1=CNC(=O)C(=C1C2=CC=NC=C2)N,30
C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,30
CN(C)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,30
CN(C)C(=O)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,30
C1CN(CCN1)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=NC6=CC=CC=C6N=C5,30
CCN(CC(C)O)C1=NN=C(C=C1)NNC(=O)OCC,30
CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)S(=O)(=O)C,30
CCC(=O)NC(C1=CC=CS1)C2=CC(=C3C=CC=NC3=C2O)[N+](=O)[O-],30
CC1=NC(=CN1C2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],30
C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)O)N,30
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,30
CS(=O)(=O)C1=CC=CC=C1C2=CSC(=N2)N3CCC(CC3)C(=O)N,30
C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CN=CC=C3,30
CC1=C(C(=NO1)C)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30
C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC(=CC=C3)N,30
CC(=O)NC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30
CN(C)C(=O)C1=CC=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30
CS(=O)(=O)C1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30
CS(=O)(=O)C1=CC=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,30
