PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,"Phenotype (Unstable (<30 min), Stable (>30 min))",Half-life (minutes),Compound QC
377020446,53277,Active,stable,>30,QC'd by NCATS
384568512,244989,Active,stable,>30,QC'd by NCATS
124953202,72512,Active,stable,>30,QC'd by NCATS
124953220,3430748,Active,stable,>30,QC'd by NCATS
124953227,257275,Active,stable,>30,QC'd by NCATS
124953244,70346,Active,stable,>30,QC'd by NCATS
124953250,135454041,Active,stable,>30,QC'd by NCATS
124953298,5236119,Active,stable,>30,QC'd by NCATS
161003875,67183,Active,stable,>30,QC'd by NCATS
363677164,127030712,Active,stable,>30,QC'd by NCATS
124954152,4887233,Active,stable,>30,QC'd by NCATS
144116861,60167808,Active,stable,>30,QC'd by NCATS
384568517,71300295,Active,stable,>30,QC'd by NCATS
161003883,17374028,Active,stable,>30,QC'd by NCATS
124391224,53255392,Active,stable,>30,QC'd by NCATS
124391232,53255407,Active,stable,>30,QC'd by NCATS
124954998,136141525,Active,stable,>30,QC'd by NCATS
124954999,136141526,Active,stable,>30,QC'd by NCATS
124955158,7427,Active,stable,>30,QC'd by NCATS
377020363,44449050,Active,stable,>30,QC'd by NCATS
377020500,24808465,Active,stable,>30,QC'd by NCATS
363677169,9911830,Active,stable,>30,QC'd by NCATS
384568526,16747388,Active,stable,>30,QC'd by NCATS
174006307,46933992,Active,stable,>30,QC'd by NCATS
134225114,56593305,Active,stable,>30,QC'd by NCATS
134225117,56593345,Active,stable,>30,QC'd by NCATS
134225120,56593347,Active,stable,>30,QC'd by NCATS
134225124,56593330,Active,stable,>30,QC'd by NCATS
136889456,57383401,Active,stable,>30,QC'd by NCATS
136889455,57383436,Active,stable,>30,QC'd by NCATS
377020524,11964036,Active,stable,>30,QC'd by NCATS
384568541,11155874,Active,stable,>30,QC'd by NCATS
384568553,25262965,Active,stable,>30,QC'd by NCATS
174006394,25022668,Active,stable,>30,QC'd by NCATS
137275913,11364421,Active,stable,>30,QC'd by NCATS
161003917,70789365,Active,stable,>30,QC'd by NCATS
161003926,70789373,Active,stable,>30,QC'd by NCATS
161003930,70789504,Active,stable,>30,QC'd by NCATS
161003933,70789429,Active,stable,>30,QC'd by NCATS
161003939,70789459,Active,stable,>30,QC'd by NCATS
161003955,136259025,Active,stable,>30,QC'd by NCATS
170466729,85542,Active,stable,>30,QC'd by NCATS
164755712,39732056,Active,stable,>30,QC'd by NCATS
174006426,73265220,Active,stable,>30,QC'd by NCATS
161003994,70789518,Active,stable,>30,QC'd by NCATS
163827039,71660732,Active,stable,>30,QC'd by NCATS
363677190,11625818,Active,stable,>30,QC'd by NCATS
163827053,71660739,Active,stable,>30,QC'd by NCATS
163826979,42560685,Active,stable,>30,QC'd by NCATS
161004026,2566614,Active,stable,>30,QC'd by NCATS
137275924,45279469,Active,stable,>30,QC'd by NCATS
363677194,9929127,Active,stable,>30,QC'd by NCATS
363677216,5330286,Active,stable,>30,QC'd by NCATS
363677224,11167602,Active,stable,>30,QC'd by NCATS
363677231,5330790,Active,stable,>30,QC'd by NCATS
174006583,24826799,Active,stable,>30,QC'd by NCATS
174006552,135423438,Active,stable,>30,QC'd by NCATS
137276005,17754438,Active,stable,>30,QC'd by NCATS
363677238,25102847,Active,stable,>30,QC'd by NCATS
137276009,22049997,Active,stable,>30,QC'd by NCATS
363677240,46191454,Active,stable,>30,QC'd by NCATS
363677261,11858109,Active,stable,>30,QC'd by NCATS
160844131,70701453,Active,stable,>30,QC'd by NCATS
160844134,70701457,Active,stable,>30,QC'd by NCATS
160844135,70701452,Active,stable,>30,QC'd by NCATS
160844136,70701450,Active,stable,>30,QC'd by NCATS
160844137,70701464,Active,stable,>30,QC'd by NCATS
160844142,70701455,Active,stable,>30,QC'd by NCATS
160844026,70701370,Active,stable,>30,QC'd by NCATS
160844029,70701424,Active,stable,>30,QC'd by NCATS
160844030,70701436,Active,stable,>30,QC'd by NCATS
160844031,70701369,Active,stable,>30,QC'd by NCATS
160844032,70701419,Active,stable,>30,QC'd by NCATS
384568692,73087,Active,stable,>30,QC'd by NCATS
174007117,46943432,Active,stable,>30,QC'd by NCATS
363677293,2746,Active,stable,>30,QC'd by NCATS
160844033,70701433,Active,stable,>30,QC'd by NCATS
363677295,2826191,Active,stable,>30,QC'd by NCATS
363677296,70701426,Active,stable,>30,QC'd by NCATS
174316132,44251608,Active,stable,>30,QC'd by NCATS
160844042,70701446,Active,stable,>30,QC'd by NCATS
160844043,70701404,Active,stable,>30,QC'd by NCATS
162010073,71296012,Active,stable,>30,QC'd by NCATS
162010074,71295999,Active,stable,>30,QC'd by NCATS
162010075,71296015,Active,stable,>30,QC'd by NCATS
160844046,70701400,Active,stable,>30,QC'd by NCATS
160844047,70701373,Active,stable,>30,QC'd by NCATS
160844049,70701407,Active,stable,>30,QC'd by NCATS
144116982,60167865,Active,stable,>30,QC'd by NCATS
160844051,70701386,Active,stable,>30,QC'd by NCATS
160844056,70701395,Active,stable,>30,QC'd by NCATS
160844058,70701383,Active,stable,>30,QC'd by NCATS
164755734,866988,Active,stable,>30,QC'd by NCATS
164755735,775964,Active,stable,>30,QC'd by NCATS
384568708,9968854,Active,stable,>30,QC'd by NCATS
174007050,4823,Active,stable,>30,QC'd by NCATS
