mol_idx,smiles,half-life,published
100,COc1cccc(-c2cn3c(n2)N(C(=O)c2ccco2)CCC3)c1,0.4626334519572953,2011
101,COc1ccc(CN2CCC3(COc4ccccc4C(=O)N3)C2)cc1,0.24110320284697506,2018
102,O=C(O)c1ccc(CN2CC(COc3ccccc3)C3(C2)CN(c2ccccc2)C3)cc1,0.9999999999999999,2018
103,COc1ccc(CN2CC(Oc3ccc(F)c(C)c3)C2)cc1,0.12455516014234876,2018
104,Cc1ccccc1-c1[nH]nc2ncc(-c3ccccc3)nc12,0.7215302491103203,2018
105,O=C(NCCCn1ccnc1)c1ccc(-c2ncc3cnc(-c4ccccc4)cn23)cc1,0.3843416370106761,2018
106,COc1cccc(CN2CCOC[C@H](O)C2)c1,0.18327402135231313,2014
107,O=C(Nc1cnc(-c2ccccc2)nc1)c1ccccc1,0.9999999999999999,2007
108,CC(C)(C)c1coc([C@@H]2COCCN2Cc2ccc(C(=O)O)cc2)n1,0.938612099644128,2013
109,COc1cccc(CN2C[C@@H](CO)[C@H](c3ccccn3)C2)c1,0.9999999999999999,2016
110,c1ccc(-c2cnc([C@@H]3COCCN3Cc3cnc[nH]3)[nH]2)cc1,0.9999999999999999,2012
111,COc1ccc(CN2CC(Oc3ccc(F)cc3F)C2)cc1,0.2553380782918149,2018
112,Cc1ccc(-c2noc([C@@H]3Cc4nc[nH]c4CN3Cc3ccc(C(=O)O)cc3)n2)cc1,0.842526690391459,2009
113,O=C(c1ccoc1)N1CCC(Oc2ccccc2)C1,0.9999999999999999,2016
114,COc1ccc(CN2CC(Oc3ccc(F)c(F)c3)C2)cc1,0.19928825622775798,2018
115,COc1ccc(-c2[nH]nc3ncc(-c4ccccc4)nc23)c(C)c1,0.389679715302491,2018
116,O=C(O)c1ccc(-c2ccc(N3CCCCCC3)nc2)cc1,0.9999999999999999,2015
117,COc1ccc(C(=O)N2CCC3(CCC3OC)CC2)cc1,0.5551601423487543,2016
118,CC(=O)N1CCC(Cc2ccc(C(=O)O)cc2)CC1,0.9999999999999999,2015
119,COc1cncc(Nc2ncc(-c3ccccc3)c3c2OCC3)c1,0.9999999999999999,2018
120,COc1ccccc1CN1CCC2(CC1)CC(O)CCO2,0.9999999999999999,2016
121,O=C(c1ccsc1)N1CCC(Oc2ccccc2)C1,0.2882562277580071,2016
122,CNC(=O)[C@@H]1CN(C(=O)c2cccc(OC)c2)C[C@H]1COC,0.9999999999999999,2016
123,Cc1noc(C)c1-c1cc(-c2ccccc2)cn2cncc12,0.9999999999999999,2018
124,Cc1ccsc1-c1[nH]nc2ncc(-c3ccccc3)nc12,0.09697508896797154,2018
125,COc1ccc(CN2CCC(N3CCNC3=O)CC2)cc1,0.9999999999999999,2018
126,O=c1c2nc(Nc3ccccc3)ccc2ncn1-c1ccccc1,0.9999999999999999,2018
127,O=C(O)c1ccc(CN2CCOC[C@H]2c2ncc(-c3ccc(F)cc3)[nH]2)cc1,0.9999999999999999,2012
128,COc1cccc(-c2c(C(=O)NC3CC3)nc3sccn23)c1,0.9999999999999999,2018
129,COc1ccc(CN2CC(N3CCc4ccccc43)C2)cc1,0.6619217081850534,2018
130,CCOc1cc(=O)n2c(c1C(=O)Nc1ccc(S(N)(=O)=O)cc1)CCCC2,0.9999999999999999,2015
131,COc1cccc(-c2c(C(=O)N3CCCCC3)nc3sccn23)c1,0.943950177935943,2018
132,COc1ccc(CN2C[C@@H](CO)[C@H](c3ccncc3)C2)cc1,0.9999999999999999,2016
133,COCCNc1nc(N)nc2c1CCN(C(=O)c1cscn1)CC2,0.9999999999999999,2012
134,Cn1cnc2ccc(Nc3ccccc3)nc2c1=O,0.9999999999999999,2018
135,COc1ccccc1-c1cnc2n[nH]c(-c3ccccc3C)c2n1,0.9999999999999999,2018
136,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)nccc12,0.9999999999999999,2018
137,COc1cccc(-c2c(C(=O)N3CCOCC3)nc3sccn23)c1,0.9999999999999999,2018
138,COc1cccc(CN2CC[C@H](c3nc4ccccc4[nH]3)C2)c1,0.9999999999999999,2011
139,COc1ccc(C(=O)N2CCOC[C@H](Oc3cnccn3)C2)cc1,0.9999999999999999,2014
140,CCN1CCN(C(=O)c2nc3sccn3c2-c2cccc(OC)c2)CC1,0.9999999999999999,2018
141,O=C(c1ccccc1)N1CCC(Oc2cccnc2)C1,0.9999999999999999,2016
142,COCCOC1CCN(C(=O)Nc2ccccc2)CC1,0.9999999999999999,2015
143,COC(=O)[C@@H]1Cc2ncn(C)c2CN1C(=O)c1ccc(OC)cc1,0.9999999999999999,2009
144,COCCNC(=O)c1nc2sccn2c1-c1cccc(OC)c1,0.9999999999999999,2018
145,COc1ccc(CN2CC[C@@](C)(O)[C@H](N3CCCC3)C2)cc1,0.9999999999999999,2015
146,COc1ccc(CN2CCC(N3CCOC3=O)CC2)cc1,0.9999999999999999,2018
147,c1ccc(-c2cnc(Nc3cccnc3)c3c2CCO3)cc1,0.9999999999999999,2018
148,COc1ccc(CN2CCC3(C2)NC(=O)c2ccccc2O3)cc1,0.9999999999999999,2018
149,COc1ccc(CN2CCC3(CC2)CC(=O)c2ccccc2O3)cc1,0.9999999999999999,2017
150,COc1cncc(N2CC3CCC(C2)N3CC(F)(F)F)c1,0.9999999999999999,2018
151,CCOCCOC1CCN(C(=O)Nc2ccccc2)CC1,0.9999999999999999,2015
152,O=C(N1CCN([S+](=O)([O-])c2ccccc2)CC1)N1CC2CC(C1)[C@H]1CCCC(=O)N1C2,0.9999999999999999,2018
153,O=C(c1ccncc1)N1CCC(Oc2ccccc2)C1,0.9999999999999999,2015
154,CN(CC1CCOC1)C(=O)Nc1ccccc1,0.9999999999999999,2016
155,O=C(Nc1ncc(-c2ccccc2)c2c1OCC2)c1ccncc1,0.9999999999999999,2018
156,COc1ccc(C(=O)N2C[C@@H](N(C)C)[C@H](CO)C2)cc1,0.9999999999999999,2016
157,COc1ccc(CN2CC(Oc3ccc(OC)cc3)C2)cc1,0.9999999999999999,2018
158,COc1ccc(CN2CC[C@H](c3nnc(C)o3)C2)cc1,0.9999999999999999,2011
159,COc1ccc(CN2CCC(N3Cc4cccn4C3=O)CC2)cc1,0.9999999999999999,2018
160,COc1cccc(-c2cn3c(n2)N(C(=O)c2cccs2)CCC3)c1,0.9999999999999999,2011
161,CN1CCC(OC2CCN(C(=O)c3ccccc3)CC2)CC1,0.9999999999999999,2015
162,Cc1noc(-c2cn(C3CCN(C(=O)c4ccccc4)C3)nn2)n1,0.9999999999999999,2015
163,COc1cccc(CN2CC[C@H](c3nnc(-c4ccco4)o3)C2)c1,0.983985765124555,2011
164,COc1cccc(-c2cn3c(n2)N(C(=O)c2ccoc2)CCC3)c1,0.9279359430604982,2011
165,O=C(c1cccnc1)N1CCC(Oc2ccccc2)C1,0.8416370106761565,2016
166,O=C(O)c1ccc(-c2ncc3cnc(-c4ccccc4)cn23)cc1,0.7535587188612098,2018
167,O=C(O)c1ccc2c(c1)n(Cc1ccccc1)c(=O)c1ccnn12,0.7241992882562277,2015
168,COc1ccc(C(=O)N2CCCOCCNC(=O)CC2)cc1,0.5560498220640568,2016
169,CN1c2cc(C(=O)Nc3ccc(S(N)(=O)=O)cc3)ccc2C(=O)N2CCCCC21,0.9999999999999999,2015
170,CN1CCN(C(=O)Cc2cccn2-c2ccc(F)cc2)CC1,0.9999999999999999,2011
171,CN1CCN(C(=O)c2cc(-c3ccc(F)cc3)nc3c2cnn3C)CC1,0.9999999999999999,2018
172,COc1ccccc1-c1cc(C(=O)N2CCN(C)CC2)nn2cnnc12,0.9999999999999999,2018
