mol id,halflife
46916310,30
46916317,30
49853209,30
49852856,30
49853100,30
49852823,30
46926073,30
46926078,30
46926080,30
56593329,30
42376812,30
53398697,30
3038525,30
9563318,30
46947865,30
9803963,30
49853287,30
49853141,30
49853203,30
49853134,30
49853294,30
49853266,30
49853005,30
24889392,30
11713159,30
50898225,30
46902231,30
53255427,30
53255440,30
53257113,30
53257132,30
53257087,30
53257190,30
53257196,30
53257155,30
53257119,30
53257126,30
53257176,30
53257116,30
14096316,30
56593314,30
53255421,30
53255430,30
53255396,30
53255428,30
1001345,30
2964643,30
77623,30
53277,30
244989,30
72512,30
3430748,30
257275,30
70346,30
135454041,30
5236119,30
67183,30
127030712,30
4887233,30
60167808,30
71300295,30
17374028,30
53255392,30
53255407,30
136141525,30
136141526,30
7427,30
44449050,30
24808465,30
9911830,30
16747388,30
46933992,30
56593305,30
56593345,30
56593347,30
56593330,30
57383401,30
57383436,30
11964036,30
11155874,30
25262965,30
25022668,30
11364421,30
70789365,30
70789373,30
70789504,30
70789429,30
70789459,30
136259025,30
85542,30
39732056,30
73265220,30
70789518,30
71660732,30
11625818,30
71660739,30
42560685,30
2566614,30
45279469,30
9929127,30
5330286,30
11167602,30
5330790,30
24826799,30
135423438,30
17754438,30
25102847,30
22049997,30
46191454,30
11858109,30
70701453,30
70701457,30
70701452,30
70701450,30
70701464,30
70701455,30
70701370,30
70701424,30
70701436,30
70701369,30
70701419,30
73087,30
46943432,30
2746,30
70701433,30
2826191,30
70701426,30
44251608,30
70701446,30
70701404,30
71296012,30
71295999,30
71296015,30
70701400,30
70701373,30
70701407,30
60167865,30
70701386,30
70701395,30
70701383,30
866988,30
775964,30
9968854,30
4823,30
60167861,30
71668132,30
10475633,30
1157499,30
1101604,30
723570,30
42654850,30
16764667,30
1977357,30
844557,30
9451481,30
17464141,30
135656053,30
999758,30
16955992,30
4774787,30
31060889,30
3614652,30
70789494,30
70701409,30
70701411,30
70789442,30
70789474,30
70789486,30
70789417,30
70701435,30
70701378,30
70701414,30
70701382,30
70701445,30
70701365,30
70789475,30
71296011,30
2331198,30
1478221,30
70701397,30
70789681,30
72710613,30
72710618,30
17982593,30
72710611,30
334157,30
70789356,30
70789375,30
70789470,30
1098727,30
70789537,30
70789399,30
70789478,30
70701364,30
70701408,30
70701402,30
70701431,30
1292054,30
2147590,30
1548400,30
1115153,30
70789400,30
70789441,30
1106557,30
1582687,30
70789430,30
70789466,30
70789419,30
70701410,30
70701420,30
52912189,30
57339144,30
72187536,30
1450448,30
71771109,30
71771097,30
24944925,30
24243268,30
70789411,30
72187561,30
70789446,30
70789370,30
72183104,30
72183102,30
1298953,30
72183107,30
70789460,30
70789524,30
70789510,30
70789412,30
2132664,30
70701434,30
70701432,30
72183101,30
72187537,30
25109986,30
11248978,30
70789667,30
70789658,30
70789679,30
70789651,30
70789359,30
70789664,30
70789672,30
70789674,30
70789652,30
70789675,30
70789700,30
70789693,30
70789481,30
70789345,30
70789522,30
70789644,30
70789690,30
70789695,30
70789663,30
70789682,30
70789655,30
70789694,30
70789666,30
70789698,30
70789653,30
72187559,30
26951683,30
46663817,30
71771102,30
71771081,30
71771087,30
71771093,30
71771076,30
71771067,30
72187541,30
72187538,30
49846579,30
10430360,30
44205240,30
72187548,30
25161177,30
73265337,30
135398495,30
50515,30
73265297,30
6852167,30
9549295,30
11175137,30
16718576,30
11978790,30
54575456,30
72187542,30
5311510,30
9934347,30
10200390,30
71550931,30
72187547,30
72187552,30
56963315,30
53239854,30
72187540,30
72187529,30
73424672,30
73424673,30
71608036,30
44129660,30
73330286,30
72943187,30
76285486,30
45378188,30
73010924,30
133053865,30
133053880,30
135565082,30
44462758,30
54766613,30
118796328,30
135566899,30
135564749,30
74767274,30
90157166,30
91623361,30
66613669,30
46926360,30
1092458,30
1261822,30
5311424,30
9869276,30
16195554,30
5311096,30
44402523,30
1791111,30
91623360,30
90094283,30
46192505,30
131955127,30
4134287,30
134789010,30
134789906,30
134791272,30
134790244,30
134788378,30
134787997,30
118740523,30
134789746,30
134790239,30
134788860,30
134788093,30
134789059,30
134789772,30
134789256,30
118740471,30
63268833,30
58496428,30
11497983,30
25181195,30
11154555,30
9871419,30
66552906,30
71566751,30
78357767,30
76283751,30
73670548,30
121439609,30
56846693,30
59472121,30
44631912,30
91663282,30
86660217,30
5330814,30
64393976,30
151115,30
67960134,30
90407809,30
74766595,30
75410922,30
75411313,30
45360472,30
26745074,30
28961069,30
51136636,30
49878590,30
133053891,30
134805851,30
134811177,30
134805340,30
134811068,30
134809587,30
134811263,30
134811287,30
134805006,30
134809345,30
134808413,30
134807270,30
134809557,30
134810621,30
134808595,30
134810647,30
134810659,30
134810625,30
134810650,30
134809569,30
133053881,30
134807922,30
134806482,30
134807381,30
134807568,30
134807036,30
134811090,30
134809423,30
