index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
42,N#Cc1cccc(-c2c(C(=O)N3CCCCC3)nc3sccn23)c1,103.4,8.4929,0.0,4.5103,-18.3085,-68.8822,-67.1712
101,COc1ccc(CN2CCC3(COc4ccccc4C(=O)N3)C2)cc1,34.7,9.5315,0.84,6.222,-10.2482,-80.5619,-90.8101
127,O=C(O)c1ccc(CN2CCOC[C@H]2c2ncc(-c3ccc(F)cc3)[nH]2)cc1,120.0,10.4461,1.4873,8.3208,-11.2326,-103.8196,-109.0208
98,Cn1ccc(NC(=O)c2ccc(-c3ncc4cnc(-c5ccccc5)cn34)cc2)n1,32.2,9.8877,0.9671,5.3741,-25.2792,-87.0845,-100.9772
126,O=c1c2nc(Nc3ccccc3)ccc2ncn1-c1ccccc1,120.0,7.4719,0.8243,4.1307,-20.5799,-65.788,-69.8762
27,Fc1cccc(Nc2ncc(-c3cccnc3)c3c2OCC3)c1,76.6,7.765,0.79,5.2657,-16.7975,-70.2296,-83.6262
39,O=c1c2nc(Nc3cccc(F)c3)ccc2ncn1-c1cccnc1,96.4,7.8802,0.9005,6.2269,-19.8929,-87.2324,-90.1772
155,O=C(Nc1ncc(-c2ccccc2)c2c1OCC2)c1ccncc1,120.0,7.9053,0.8749,4.7744,-18.096,-68.1734,-83.6285
156,COc1ccc(C(=O)N2C[C@@H](N(C)C)[C@H](CO)C2)cc1,120.0,9.3637,0.6328,6.8069,2.2847,-86.108,-72.5438
182,c1ccc(Nc2ncc(-c3cccnc3)c3c2OCC3)cc1,120.0,7.4679,0.7654,3.7426,-17.5421,-58.9581,-72.8641
86,CCN1CCN(C(=O)c2ccc3nccn3c2)CC1,120.0,8.0321,0.0,4.6499,-5.8604,-70.1964,-58.7647
91,Cc1cc2cc(-c3c(C)noc3C)nc(Nc3ccccc3)c2o1,35.6,7.8209,0.752,4.5657,-17.0646,-65.6255,-75.0792
3,Fc1cccc(-c2cnc(Nc3cncnc3)c3c2CCO3)c1,9.6,8.0168,0.8529,5.9047,-16.8485,-80.7538,-89.4549
178,Fc1cccc(Nc2ncc(-c3cncnc3)c3c2OCC3)c1,120.0,8.0399,0.8343,5.8531,-16.8497,-80.4318,-88.9725
47,O=c1cc(N2CCOCC2)oc2c(-c3cccc(F)c3)nccc12,120.0,9.2968,0.0,7.412,-13.2772,-87.4263,-88.7161
96,O=C(c1cccs1)N1CCC(Oc2ccccc2)C1,38.3,7.3394,0.0,3.8707,-9.3411,-49.5363,-48.0267
83,CCN1CCN(C(=O)c2cc(-c3ccc(F)cc3)nc3c2cnn3C)CC1,120.0,10.9596,0.0,6.8511,-9.9451,-93.9262,-83.6559
181,COc1ccccc1-c1[nH]nc2ncc(-c3cccc(F)c3)nc12,120.0,7.0451,0.8188,5.2916,-18.4363,-70.8628,-82.2666
37,N#Cc1cccc(CN2CCOC[C@H]2c2ncc(-c3ccc(F)cc3)[nH]2)c1,94.7,9.9759,0.6582,5.9366,-15.3563,-82.6256,-92.68
110,c1ccc(-c2cnc([C@@H]3COCCN3Cc3cnc[nH]3)[nH]2)cc1,120.0,8.3609,1.291,5.2361,-10.9948,-83.5788,-88.5883
23,O=C(c1ccoc1)N1CCC(Oc2cccc(F)c2)C1,70.5,8.5388,0.0,6.6563,-9.0712,-74.6715,-73.7782
115,COc1ccc(-c2[nH]nc3ncc(-c4ccccc4)nc23)c(C)c1,51.4,7.7469,0.7815,4.1029,-18.181,-64.0154,-73.8605
129,COc1ccc(CN2CC(N3CCc4ccccc43)C2)cc1,82.0,8.4094,0.0,3.1767,-9.5449,-48.1372,-54.3877
121,O=C(c1ccsc1)N1CCC(Oc2ccccc2)C1,40.0,7.6406,0.0,4.1887,-9.3339,-52.7595,-51.6232
12,N#Cc1cccc(CN2CC(COc3ccccc3)C3(C2)CN(c2ccccc2)C3)c1,41.6,11.8799,0.0,4.0542,-18.8727,-65.6962,-84.5689
113,O=C(c1ccoc1)N1CCC(Oc2ccccc2)C1,120.0,7.98,0.0,5.1068,-9.818,-62.383,-62.1327
173,CN1CCN(C(=O)c2cc(-c3cccnc3)nc3c2cnn3C)CC1,120.0,10.2814,0.0,5.8624,-11.8571,-91.9131,-83.9018
7,Fc1cccc(-c2noc(-c3nc(-c4ccncc4)no3)n2)c1,26.4,6.5288,0.0,5.4318,-19.6288,-74.0857,-70.8723
28,COC1CCC12CCN(C(=O)c1ccc(C#N)cc1)CC2,79.2,9.3206,0.0,4.9861,-6.7075,-66.6646,-65.5666
118,CC(=O)N1CCC(Cc2ccc(C(=O)O)cc2)CC1,120.0,8.0419,0.8829,5.4666,-1.4432,-66.5487,-60.4066
5,Cc1ccc(NC(=O)c2nc3sccn3c2-c2cccc(C#N)c2)cc1,17.4,7.5332,0.7135,4.0181,-24.0059,-63.826,-81.2446
33,CNC(=O)[C@@H]1CN(C(=O)c2cccc(C#N)c2)C[C@H]1COC,86.6,10.5137,0.5675,7.1003,-5.3018,-93.5771,-93.4911
140,CCN1CCN(C(=O)c2nc3sccn3c2-c2cccc(OC)c2)CC1,120.0,9.9653,0.0,6.1888,-10.4035,-86.6321,-72.4683
