index,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
29,CC(=O)N1CCC(Cc2ccc(C(=O)NC3CC3)cc2)CC1,80.1,9.3428,0.5932,5.1338,-2.5139,-69.1206,-63.2435
174,CN1CCN(C(=O)c2ccc3nccn3c2)CC1,120.0,7.7109,0.0,4.6284,-6.9735,-69.7237,-59.509
6,O=C(c1cccs1)N1CCC(Oc2cccc(F)c2)C1,17.4,7.8773,0.0,5.4241,-8.5925,-61.4706,-60.3407
113,O=C(c1ccoc1)N1CCC(Oc2ccccc2)C1,120.0,7.98,0.0,5.1068,-9.818,-62.383,-62.1327
168,COc1ccc(C(=O)N2CCCOCCNC(=O)CC2)cc1,70.1,10.9669,0.6359,8.0046,0.38,-99.0821,-90.9623
120,COc1ccccc1CN1CCC2(CC1)CC(O)CCO2,120.0,8.5931,0.6024,5.7013,3.1166,-69.529,-66.4124
19,N#Cc1cccc(CN2C[C@@H](CO)[C@H](c3ccccn3)C2)c1,57.4,9.1648,0.7295,4.4161,-9.3461,-67.7022,-77.0483
165,O=C(c1cccnc1)N1CCC(Oc2ccccc2)C1,102.2,8.5024,0.0,4.5324,-9.9294,-61.3329,-61.3992
23,O=C(c1ccoc1)N1CCC(Oc2cccc(F)c2)C1,70.5,8.5388,0.0,6.6563,-9.0712,-74.6715,-73.7782
28,COC1CCC12CCN(C(=O)c1ccc(C#N)cc1)CC2,79.2,9.3206,0.0,4.9861,-6.7075,-66.6646,-65.5666
65,O=C(c1ccncc1)N1CCC(Oc2cccc(F)c2)C1,120.0,9.1022,0.0,6.2339,-9.1809,-75.4544,-74.1997
31,N#Cc1ccccc1CN1CCC2(CC1)CC(O)CCO2,80.3,9.0199,0.6058,5.2493,-2.5523,-70.3942,-72.9465
96,O=C(c1cccs1)N1CCC(Oc2ccccc2)C1,38.3,7.3394,0.0,3.8707,-9.3411,-49.5363,-48.0267
33,CNC(=O)[C@@H]1CN(C(=O)c2cccc(C#N)c2)C[C@H]1COC,86.6,10.5137,0.5675,7.1003,-5.3018,-93.5771,-93.4911
109,COc1cccc(CN2C[C@@H](CO)[C@H](c3ccccn3)C2)c1,120.0,9.2844,0.6653,5.143,-3.6609,-69.8702,-73.5311
156,COc1ccc(C(=O)N2C[C@@H](N(C)C)[C@H](CO)C2)cc1,120.0,9.3637,0.6328,6.8069,2.2847,-86.108,-72.5438
43,N#Cc1ccc(CN2C[C@@H](CO)[C@H](c3ccncc3)C2)cc1,107.1,8.8776,0.7055,4.2951,-9.3616,-65.8331,-75.1947
154,CN(CC1CCOC1)C(=O)Nc1ccccc1,120.0,7.5775,0.583,4.9304,-0.8594,-65.5236,-57.9857
53,O=C(c1cccc(F)c1)N1CCC(Oc2cccnc2)C1,120.0,8.8588,0.0,6.1228,-9.1847,-73.7774,-70.3301
121,O=C(c1ccsc1)N1CCC(Oc2ccccc2)C1,40.0,7.6406,0.0,4.1887,-9.3339,-52.7595,-51.6232
122,CNC(=O)[C@@H]1CN(C(=O)c2cccc(OC)c2)C[C@H]1COC,120.0,11.2471,0.5767,8.2224,0.4024,-101.346,-93.3065
